fileName,TrainingMethod,nTeams,nEpisodes,actor,critic,gamma,reward,move,pokemon,player,nInputs,useRandom,useMaxDamage,useSelfPlay
experiment1,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment2,actorCritic,10,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment3,actorCritic,100,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment4,actorCritic,inf,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment5,actor,2,64,ActorNetwork02,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment6,actor,10,64,ActorNetwork02,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment7,actor,100,64,ActorNetwork02,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment8,actor,inf,64,ActorNetwork02,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment9,actorCritic,2,1,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment10,actorCritic,2,16,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment11,actorCritic,2,32,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment12,actorCritic,1,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment13,actorCritic,2,64,ActorNetwork01,CriticNetwork01,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment14,actorCritic,2,64,ActorNetwork03,CriticNetwork03,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment15,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.5,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment16,actorCritic,inf,64,ActorNetwork03,CriticNetwork03,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment17,actor,inf,64,ActorNetwork03,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment18,actor,1,64,ActorNetwork03,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment19,actor,inf,64,ActorNetwork01,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment20,actor,1,64,ActorNetwork01,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment21,actor,inf,64,ActorNetwork03,,0.5,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment22,actor,1,64,ActorNetwork01,,0.5,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment23,actor,1,1,ActorNetwork01,,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment24,actorCritic,inf,64,ActorNetwork02,CriticNetwork03,0.99,RewardFunction01,Move00,Pokemon03,AIPlayer02,182,True,False,False
experiment25,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move01,Pokemon03,AIPlayer02,1382,True,False,False
experiment26,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move02,Pokemon03,AIPlayer02,2006,True,False,False
experiment27,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move03,Pokemon03,AIPlayer02,2438,True,False,False
experiment28,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move04,Pokemon03,AIPlayer02,2774,True,False,False
experiment29,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move05,Pokemon03,AIPlayer02,3206,True,False,False
experiment30,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move06,Pokemon03,AIPlayer02,3782,True,False,False
experiment31,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move07,Pokemon03,AIPlayer02,4454,True,False,False
experiment32,actorCritic,2,64,ActorNetwork02,CriticNetwork02,0.99,RewardFunction01,Move08,Pokemon03,AIPlayer02,7574,True,False,False
